Accession	Requested_species	NCBI_organism	NCBI_accepted_species	Phylum	Class	Order	Family	Genus	Taxonomy_source
AF283010.1	Abies koreana	Abies koreana	Abies koreana	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	BOLD_GENUS_BACKBONE
AF283011.1	Abies koreana	Abies koreana f. chlorocarpa	Abies koreana	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	BOLD_GENUS_BACKBONE
AF283012.1	Abies koreana	Abies koreana f. rubrocarpa	Abies koreana	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	BOLD_GENUS_BACKBONE
AF283013.1	Abies koreana	Abies koreana f. nigrocarpa	Abies koreana	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	BOLD_GENUS_BACKBONE
JF499944.1	Abies koreana	Abies koreana	Abies koreana	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	BOLD_GENUS_BACKBONE
AY605305.1	Acer hyrcanum	Acer hyrcanum subsp. hyrcanum	Acer hyrcanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605306.1	Acer hyrcanum	Acer hyrcanum subsp. hyrcanum	Acer hyrcanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366129.1	Acer hyrcanum	Acer hyrcanum subsp. hyrcanum	Acer hyrcanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366130.1	Acer hyrcanum	Acer hyrcanum subsp. hyrcanum	Acer hyrcanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
MW070140.1	Acer hyrcanum	Acer hyrcanum	Acer hyrcanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AF401127.1	Acer monspessulanum	Acer monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605307.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605308.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605309.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605310.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605311.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605312.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605313.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605314.1	Acer monspessulanum	Acer monspessulanum subsp. ibericum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605315.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605316.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605317.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605318.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605319.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605320.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605321.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366124.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366125.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366126.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366127.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
DQ366128.1	Acer monspessulanum	Acer monspessulanum subsp. monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
MW070149.1	Acer monspessulanum	Acer monspessulanum	Acer monspessulanum	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605333.1	Acer obtusatum	Acer opalus subsp. obtusatum	Acer opalus	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605334.1	Acer obtusatum	Acer opalus subsp. obtusatum	Acer opalus	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605335.1	Acer obtusatum	Acer opalus subsp. obtusatum	Acer opalus	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605336.1	Acer obtusatum	Acer opalus subsp. obtusatum	Acer opalus	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY605337.1	Acer obtusatum	Acer opalus subsp. obtusatum	Acer opalus	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
MW070153.1	Acer obtusatum	Acer opalus subsp. obtusatum	Acer opalus	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	BOLD_GENUS_BACKBONE
AY603201.1	Achillea aspleniifolia	Achillea aspleniifolia	Achillea aspleniifolia	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AY603227.1	Achillea atrata	Achillea atrata	Achillea atrata	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AY603198.1	Achillea collina	Achillea collina	Achillea collina	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AB359797.1	Achillea nobilis	Achillea nobilis	Achillea nobilis	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AY603212.1	Achillea nobilis	Achillea nobilis	Achillea nobilis	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AY603200.1	Achillea roseoalba	Achillea roseoalba	Achillea roseoalba	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AY603211.1	Achillea virescens	Achillea virescens	Achillea virescens	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	BOLD_GENUS_BACKBONE
AF216547.1	Aconitum anthora	Aconitum anthora	Aconitum anthora	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aconitum	BOLD_GENUS_BACKBONE
KF219806.1	Aconitum degenii	Aconitum degenii	Aconitum degenii	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aconitum	BOLD_GENUS_BACKBONE
KF219819.1	Aconitum degenii	Aconitum degenii	Aconitum degenii	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aconitum	BOLD_GENUS_BACKBONE
KF219823.1	Aconitum degenii	Aconitum degenii	Aconitum degenii	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aconitum	BOLD_GENUS_BACKBONE
AF156998.1	Aegilops geniculata	Aegilops geniculata	Aegilops geniculata	Tracheophyta	Liliopsida	Poales	Poaceae	Aegilops	BOLD_GENUS_BACKBONE
EU687646.1	Aesculus flava	Aesculus flava	Aesculus flava	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	BOLD_GENUS_BACKBONE
EU687647.1	Aesculus flava	Aesculus flava	Aesculus flava	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	BOLD_GENUS_BACKBONE
EU687648.1	Aesculus flava	Aesculus flava	Aesculus flava	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	BOLD_GENUS_BACKBONE
EU687632.1	Aesculus parviflora	Aesculus parviflora	Aesculus parviflora	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	BOLD_GENUS_BACKBONE
EU687633.1	Aesculus parviflora	Aesculus parviflora	Aesculus parviflora	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	BOLD_GENUS_BACKBONE
MF348846.1	Aesculus parviflora	Aesculus parviflora	Aesculus parviflora	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	BOLD_GENUS_BACKBONE
AJ862698.1	Aethionema saxatile	Aethionema saxatile	Aethionema saxatile	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Aethionema	NCBI_LINEAGE
KJ598966.1	Agrostis alpina	Agrostis alpina	Agrostis alpina	Tracheophyta	Liliopsida	Poales	Poaceae	Agrostis	BOLD_GENUS_BACKBONE
EU072530.1	Alchemilla fissa	Alchemilla fissa	Alchemilla fissa	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Alchemilla	BOLD_GENUS_BACKBONE
