Accession	Requested_species	NCBI_accepted_species	Reason
AF020364.1	Acer ginnala	Acer tataricum	Accepted species already represented in BOLD
AF241487.1	Acer ginnala	Acer tataricum	Accepted species already represented in BOLD
AF401147.1	Acer ginnala	Acer tataricum	Accepted species already represented in BOLD
AY605363.1	Acer ginnala	Acer tataricum	Accepted species already represented in BOLD
AY605364.1	Acer ginnala	Acer tataricum	Accepted species already represented in BOLD
MN431685.1	Acer ginnala	Acer tataricum	Accepted species already represented in BOLD
MW070189.1	Acer ginnala	Acer tataricum	Accepted species already represented in BOLD
OP221085.1	Acer ginnala	Acer tataricum	Accepted species already represented in BOLD
AJ876610.1	Crepis rhoeadifolia	Crepis foetida	Accepted species already represented in BOLD
MN549137.1	Crepis rhoeadifolia	Crepis foetida	Accepted species already represented in BOLD
AJ876608.1	Crepis taraxacifolia	Crepis vesicaria	Accepted species already represented in BOLD
MN549131.1	Crepis taraxacifolia	Crepis vesicaria	Accepted species already represented in BOLD
MN549145.1	Crepis taraxacifolia	Crepis vesicaria	Accepted species already represented in BOLD
GU977053.1	Eleocharis austriaca	Eleocharis mamillata	Accepted species already represented in BOLD
GU977054.1	Eleocharis austriaca	Eleocharis mamillata	Accepted species already represented in BOLD
GU977055.1	Eleocharis austriaca	Eleocharis mamillata	Accepted species already represented in BOLD
GU977056.1	Eleocharis austriaca	Eleocharis mamillata	Accepted species already represented in BOLD
GU977057.1	Eleocharis austriaca	Eleocharis mamillata	Accepted species already represented in BOLD
JN010078.1	Euphorbia pinea	Euphorbia segetalis	Accepted species already represented in BOLD
KC193783.1	Hordeum distichon	Hordeum vulgare	Accepted species already represented in BOLD
KP126670.1	Hordeum geniculatum	Hordeum marinum	Accepted species already represented in BOLD
KP296059.1	Hordeum geniculatum	Hordeum marinum	Accepted species already represented in BOLD
KU513492.1	Hordeum geniculatum	Hordeum marinum	Accepted species already represented in BOLD
KU513493.1	Hordeum geniculatum	Hordeum marinum	Accepted species already represented in BOLD
KM217268.1	Hordeum leporinum	Hordeum murinum	Accepted species already represented in BOLD
KP126672.1	Hordeum leporinum	Hordeum murinum	Accepted species already represented in BOLD
EU563964.1	Hypnum resupinatum	Hypnum cupressiforme	Accepted species already represented in BOLD
GU969018.1	Hypnum resupinatum	Hypnum cupressiforme	Accepted species already represented in BOLD
MH613451.1	Hypnum resupinatum	Hypnum cupressiforme	Accepted species already represented in BOLD
MK211869.1	Hypnum resupinatum	Hypnum cupressiforme	Accepted species already represented in BOLD
MK211870.1	Hypnum resupinatum	Hypnum cupressiforme	Accepted species already represented in BOLD
MF349199.1	Lychnis coronaria	Silene coronaria	Accepted species already represented in BOLD
U30979.1	Lychnis coronaria	Silene coronaria	Accepted species already represented in BOLD
KT865635.1	Olea sativa	Olea europaea	Accepted species already represented in BOLD
KT865636.1	Olea sativa	Olea europaea	Accepted species already represented in BOLD
KT865637.1	Olea sativa	Olea europaea	Accepted species already represented in BOLD
KT865638.1	Olea sativa	Olea europaea	Accepted species already represented in BOLD
KT865639.1	Olea sativa	Olea europaea	Accepted species already represented in BOLD
KT865640.1	Olea sativa	Olea europaea	Accepted species already represented in BOLD
KT865641.1	Olea sativa	Olea europaea	Accepted species already represented in BOLD
KT865642.1	Olea sativa	Olea europaea	Accepted species already represented in BOLD
KT865643.1	Olea sativa	Olea europaea	Accepted species already represented in BOLD
KT865644.1	Olea sativa	Olea europaea	Accepted species already represented in BOLD
KU528507.1	Olea sativa	Olea europaea	Accepted species already represented in BOLD
GQ488522.1	Ononis antiquorum	Ononis spinosa	Accepted species already represented in BOLD
KY378813.1	Poa sylvicola	Poa trivialis	Accepted species already represented in BOLD
MF405476.1	Poa sylvicola	Poa trivialis	Accepted species already represented in BOLD
KP896909.1	Vicia dasycarpa	Vicia villosa	Accepted species already represented in BOLD
JF683826.1	Viola adriatica	Viola suavis	Accepted species already represented in BOLD
JF683827.1	Viola adriatica	Viola suavis	Accepted species already represented in BOLD
JF683828.1	Viola adriatica	Viola suavis	Accepted species already represented in BOLD
JF683829.1	Viola adriatica	Viola suavis	Accepted species already represented in BOLD
JF683830.1	Viola adriatica	Viola suavis	Accepted species already represented in BOLD
JF683831.1	Viola adriatica	Viola suavis	Accepted species already represented in BOLD
JF683834.1	Viola adriatica	Viola suavis	Accepted species already represented in BOLD
