OTU4|centroid=ASV471	k:Plantae(1.00),p:Tracheophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(1.00),f:Rosaceae(1.00),g:Fragaria(1.00),s:Fragaria_vesca(1.00)	+	k:Plantae,p:Tracheophyta,c:Magnoliopsida,o:Rosales,f:Rosaceae,g:Fragaria,s:Fragaria_vesca
OTU1|centroid=ASV398	k:Plantae(1.00),p:Tracheophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(1.00),f:Rosaceae(1.00),g:Rubus(1.00),s:Rubus_caesius(0.75)	+	k:Plantae,p:Tracheophyta,c:Magnoliopsida,o:Rosales,f:Rosaceae,g:Rubus
OTU9|centroid=ASV605	k:Plantae(1.00),p:Tracheophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.98),f:Primulaceae(0.90),g:Lysimachia(0.86),s:Lysimachia_nemorum(0.57)	+	k:Plantae,p:Tracheophyta,c:Magnoliopsida,o:Ericales,f:Primulaceae,g:Lysimachia
OTU8|centroid=ASV251	k:Plantae(1.00),p:Tracheophyta(1.00),c:Liliopsida(1.00),o:Poales(1.00),f:Poaceae(1.00),g:Brachypodium(0.20),s:Brachypodium_pinnatum(0.19)	+	k:Plantae,p:Tracheophyta,c:Liliopsida,o:Poales,f:Poaceae
OTU3|centroid=ASV681	k:Plantae(1.00),p:Tracheophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(1.00),f:Violaceae(1.00),g:Viola(1.00),s:Viola_reichenbachiana(0.67)	+	k:Plantae,p:Tracheophyta,c:Magnoliopsida,o:Malpighiales,f:Violaceae,g:Viola
OTU2|centroid=ASV558	k:Plantae(1.00),p:Tracheophyta(0.99),c:Magnoliopsida(0.99),o:Boraginales(0.98),f:Boraginaceae(0.98),g:Myosotis(0.62),s:Myosotis_alpestris(0.33)	+	k:Plantae,p:Tracheophyta,c:Magnoliopsida,o:Boraginales,f:Boraginaceae
OTU7|centroid=ASV634	k:Plantae(1.00),p:Tracheophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(1.00),f:Oleaceae(1.00),g:Fraxinus(1.00),s:Fraxinus_excelsior(1.00)	+	k:Plantae,p:Tracheophyta,c:Magnoliopsida,o:Lamiales,f:Oleaceae,g:Fraxinus,s:Fraxinus_excelsior
OTU6|centroid=ASV459	k:Plantae(1.00),p:Tracheophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(1.00),f:Rosaceae(1.00),g:Sanguisorba(0.34),s:Sanguisorba_officinalis(0.18)	+	k:Plantae,p:Tracheophyta,c:Magnoliopsida,o:Rosales,f:Rosaceae
OTU11|centroid=ASV484	k:Plantae(1.00),p:Tracheophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(1.00),f:Plantaginaceae(1.00),g:Veronica(1.00),s:Veronica_chamaedrys(1.00)	+	k:Plantae,p:Tracheophyta,c:Magnoliopsida,o:Lamiales,f:Plantaginaceae,g:Veronica,s:Veronica_chamaedrys
OTU5|centroid=ASV498	k:Plantae(1.00),p:Tracheophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(1.00),f:Plantaginaceae(1.00),g:Veronica(1.00),s:Veronica_officinalis(1.00)	+	k:Plantae,p:Tracheophyta,c:Magnoliopsida,o:Lamiales,f:Plantaginaceae,g:Veronica,s:Veronica_officinalis
OTU17|centroid=ASV347	k:Plantae(1.00),p:Tracheophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(1.00),f:Rosaceae(1.00),g:Rubus(1.00),s:Rubus_saxatilis(0.91)	+	k:Plantae,p:Tracheophyta,c:Magnoliopsida,o:Rosales,f:Rosaceae,g:Rubus,s:Rubus_saxatilis
OTU10|centroid=ASV513	k:Plantae(1.00),p:Tracheophyta(1.00),c:Magnoliopsida(1.00),o:Ranunculales(1.00),f:Ranunculaceae(1.00),g:Clematis(1.00),s:Clematis_vitalba(1.00)	+	k:Plantae,p:Tracheophyta,c:Magnoliopsida,o:Ranunculales,f:Ranunculaceae,g:Clematis,s:Clematis_vitalba
