"sample","reads_in","reads_out","retained_percent"
"LME1632",13335,11674,87.54
"LME1641",11163,9337,83.64
"LME1643",9978,6358,63.72
"LME1647",12091,10501,86.85
"LME1655",13237,11564,87.36
"LME1665",13157,11578,88
"LME1674",11728,10310,87.91
"LME1676",11040,9686,87.74
"LME1677",11046,9803,88.75
"LME1682",12714,11115,87.42
"LME1683",12935,11271,87.14
"LME1684",14555,12074,82.95
"LME1685",13606,11822,86.89
"LME1688",12410,10731,86.47
"LME1690",12662,10789,85.21
"LME1691",12599,11050,87.71
"LME1696",14707,12555,85.37
"LME1700",10634,9352,87.94
"LME1712",8107,6930,85.48
"LME1718",10358,8826,85.21
