"sample","reads_in","reads_out","retained_percent"
"LME1632",32442,22899,70.58
"LME1641",18783,15890,84.6
"LME1643",16671,12629,75.75
"LME1647",15911,13843,87
"LME1655",37011,25954,70.13
"LME1665",19668,15713,79.89
"LME1674",21738,18267,84.03
"LME1676",23611,20544,87.01
"LME1677",22104,18818,85.13
"LME1682",30192,24904,82.49
"LME1683",23807,18812,79.02
"LME1684",20605,17689,85.85
"LME1685",21318,13864,65.03
"LME1688",17780,15164,85.29
"LME1690",19531,13816,70.74
"LME1691",22560,16180,71.72
"LME1696",22367,16520,73.86
"LME1700",19981,17251,86.34
"LME1712",23224,19074,82.13
"LME1718",16746,13666,81.61
