Requested_species	Accession	Organism	Record_TaxID	Taxonomy_match	Extraction_method	Feature_type	Length	Description
Abies koreana	AF283010.1	Abies koreana	97170	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	243	Abies koreana internal transcribed spacer 2, complete sequence
Abies koreana	AF283011.1	Abies koreana f. chlorocarpa	136443	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	243	Abies koreana f. chlorocarpa internal transcribed spacer 2, complete sequence
Abies koreana	AF283012.1	Abies koreana f. rubrocarpa	136444	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	243	Abies koreana f. rubrocarpa internal transcribed spacer 2, complete sequence
Abies koreana	AF283013.1	Abies koreana f. nigrocarpa	136445	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	243	Abies koreana f. nigrocarpa internal transcribed spacer 2, complete sequence
Abies koreana	JF499944.1	Abies koreana	97170	NAME_MATCH	EXACT_ANNOTATED_ITS2	misc_RNA	208	Abies koreana voucher Won M.-Y. 01 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Acer ginnala	AF020364.1	Acer tataricum subsp. ginnala	57656	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	279	Acer tataricum subsp. ginnala 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene; and internal transcribed spacer 2, complete sequence
Acer ginnala	AF241487.1	Acer tataricum subsp. ginnala	57656	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	251	Acer tataricum subsp. ginnala internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence
Acer ginnala	AF401147.1	Acer tataricum subsp. ginnala	57656	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	251	Acer tataricum subsp. ginnala internal transcribed spacer 1, 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence
Acer ginnala	AY605363.1	Acer tataricum subsp. ginnala	57656	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	251	Acer tataricum subsp. ginnala clone gi021 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer ginnala	AY605364.1	Acer tataricum subsp. ginnala	57656	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	251	Acer tataricum subsp. ginnala clone gi022 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 25S ribosomal RNA gene, partial sequence
Acer ginnala	MN431685.1	Acer tataricum subsp. ginnala	57656	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	233	Acer tataricum subsp. ginnala 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence
Acer ginnala	MW070189.1	Acer tataricum subsp. ginnala	57656	NCBI_SYNONYM	EXACT_ANNOTATED_ITS2	misc_RNA	254	Acer tataricum subsp. ginnala external transcribed spacer small subunit ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and large subunit ribosomal RNA gene, complete sequence
